Date,Close,declining,advancing,dec_vol,adv_vol
2015-11-04,2094.0,1870.0,1262.0,2772482154.0,1179439021.0
2015-11-05,2093.8,1602.0,1519.0,2175842606.0,1736459819.0
2015-11-06,2094.0,1966.0,1210.0,2283594419.0,1982892366.0
2015-11-09,2073.0,2510.0,669.0,3066997403.0,734541452.0
2015-11-10,2077.7,1365.0,1788.0,1709324944.0,2014067785.0
2015-11-11,2068.5,1792.0,1347.0,2337167139.0,1270236590.0
2015-11-12,2040.5,2559.0,598.0,3523094197.0,403177021.0
2015-11-13,2018.0,1927.0,1207.0,2722549341.0,1423149459.0
2015-11-16,2048.0,892.0,2273.0,674852981.0,3000193576.0
2015-11-17,2048.8,1988.0,1179.0,3032891560.0,1323763621.0
2015-11-18,2080.0,721.0,2414.0,422619840.0,3416519518.0
2015-11-19,2079.0,1489.0,1643.0,1923170467.0,1643273592.0
2015-11-20,2088.5,1261.0,1848.0,1952752598.0,1858418815.0
2015-11-23,2084.0,1508.0,1616.0,1849798153.0,1619129232.0
2015-11-24,2084.8,1199.0,1931.0,1167267866.0,2534171028.0
2015-11-25,2087.8,1202.0,1902.0,1421692417.0,1312588785.0
2015-11-27,2089.8,1210.0,1856.0,796368860.0,578455900.0
2015-11-30,2082.7,1762.0,1373.0,2474256516.0,1574160236.0
2015-12-01,2100.0,930.0,2218.0,877649221.0,2722234392.0
2015-12-02,2081.8,2462.0,704.0,3052818745.0,807862686.0
2015-12-03,2051.5,2560.0,598.0,3169494051.0,1041132757.0
2015-12-04,2087.7,1083.0,2042.0,1562018149.0,2571246325.0
2015-12-07,2081.5,2522.0,637.0,3256430431.0,724322283.0
2015-12-08,2058.7,2083.0,1029.0,2898503722.0,1171541637.0
2015-12-09,2042.0,1892.0,1253.0,2091719139.0,2187306576.0
2015-12-10,2049.0,1582.0,1541.0,1449519712.0,2168674122.0
2015-12-11,2010.0,2789.0,404.0,3895956669.0,346731499.0
2015-12-14,2019.5,2334.0,830.0,2840537316.0,1624558193.0
2015-12-15,2044.0,700.0,2473.0,767698215.0,3518299817.0
2015-12-16,2073.7,572.0,2615.0,856830900.0,3656083039.0
2015-12-17,2037.0,2044.0,1106.0,3595279617.0,628712226.0
2015-12-18,1993.0,2045.0,1108.0,128302988.0,1636950498.0
2015-12-21,2015.0,1071.0,2058.0,1191725882.0,2444725035.0
2015-12-22,2036.1,755.0,2383.0,638928593.0,2802281931.0
2015-12-23,2053.0,458.0,2718.0,236294166.0,3188310858.0
2015-12-24,2045.0,1367.0,1691.0,773999156.0,588558243.0
2015-12-28,2050.5,1930.0,1211.0,1802483515.0,619777829.0
2015-12-29,2072.0,822.0,2313.0,577954679.0,1919340021.0
2015-12-30,2054.5,2212.0,938.0,2000956322.0,308176218.0
2015-12-31,2036.5,1932.0,1199.0,1559667176.0,986061997.0
2016-01-04,2009.5,2157.0,1005.0,2983318876.0,1198231130.0
2016-01-05,2011.7,1297.0,1844.0,1730440403.0,1848020667.0
2016-01-06,1986.5,2338.0,811.0,3623959530.0,633356655.0
2016-01-07,1932.0,2734.0,440.0,50274890.0,584632052.0
2016-01-08,1912.0,2149.0,998.0,3526212816.0,1027284681.0
2016-01-11,1914.4,2039.0,1098.0,2789843836.0,1773782857.0
2016-01-12,1924.7,1622.0,1493.0,2598789133.0,2061304470.0
2016-01-13,1881.5,2792.0,375.0,151591472.0,492291517.0
2016-01-14,1914.5,1024.0,2106.0,1242405539.0,3919338579.0
2016-01-15,1875.5,2612.0,557.0,417021272.0,609788249.0
2016-01-19,1873.0,2109.0,1036.0,3368710645.0,1392382127.0
2016-01-20,1854.0,2285.0,889.0,284314775.0,1575552228.0
2016-01-21,1861.0,1103.0,2036.0,1524014596.0,3430443827.0
2016-01-22,1899.5,342.0,2840.0,773508534.0,4084209005.0
2016-01-25,1870.0,2663.0,499.0,3688993478.0,459279963.0
2016-01-26,1895.0,543.0,2613.0,365597596.0,3932231705.0
2016-01-27,1875.0,1928.0,1186.0,2536059373.0,2137819926.0
2016-01-28,1880.0,1045.0,2099.0,2120738534.0,2497300544.0
2016-01-29,1929.0,355.0,2823.0,419881582.0,492241065.0
2016-02-01,1931.0,1587.0,1534.0,2335827134.0,1889495312.0
2016-02-02,1896.8,2504.0,634.0,3955122212.0,441475375.0
2016-02-03,1908.0,1129.0,1975.0,1748767125.0,3348626093.0
2016-02-04,1908.0,1137.0,1984.0,1539948363.0,3556083733.0
2016-02-05,1875.0,2380.0,747.0,3703738658.0,1160806195.0
2016-02-08,1852.5,2519.0,643.0,157107165.0,1026279364.0
2016-02-09,1848.5,2186.0,962.0,3285048574.0,1706784665.0
2016-02-10,1847.0,1461.0,1664.0,2341238789.0,2023865432.0
2016-02-11,1824.5,2565.0,591.0,4271898341.0,1053021633.0
2016-02-12,1858.0,658.0,2500.0,764771849.0,3859184837.0
2016-02-16,1888.5,603.0,2552.0,702012757.0,3779962225.0
2016-02-17,1922.7,537.0,2613.0,516877741.0,78733713.0
2016-02-18,1916.5,1515.0,1596.0,2599591718.0,1746159830.0
2016-02-19,1914.0,1568.0,1543.0,2684682153.0,1387250165.0
2016-02-22,1936.0,707.0,2418.0,416305748.0,3529834712.0
2016-02-23,1916.0,2102.0,1028.0,2989253040.0,786640672.0
2016-02-24,1930.0,1107.0,2006.0,1818795951.0,2408143790.0
2016-02-25,1950.5,812.0,2304.0,1100561117.0,2915765023.0
2016-02-26,1942.7,1193.0,1940.0,1529858836.0,2736294031.0
2016-02-29,1930.0,1481.0,1637.0,2286486119.0,2058296727.0
2016-03-01,1978.0,568.0,2587.0,1216385990.0,3556327170.0
2016-03-02,1983.5,1046.0,2075.0,721825693.0,3896165787.0
2016-03-03,1990.7,753.0,2353.0,913522201.0,4087441305.0
2016-03-04,1994.5,1098.0,2020.0,1438412421.0,4431079565.0
2016-03-07,1999.0,1042.0,2063.0,1277774707.0,3563798544.0
2016-03-08,1980.5,2345.0,762.0,3846900683.0,721109908.0
2016-03-09,1988.3,929.0,2169.0,1320000000.0,2618641232.0
2016-03-10,1989.5,1771.0,1317.0,2176555685.0,2136371110.0
2016-03-11,2019.5,524.0,2609.0,628422819.0,3383531024.0
