Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2016-04-06,1.78,488186.0,273590.0,761776.0
2016-04-07,1.56,568776.0,365374.0,934150.0
2016-04-08,1.9,583173.0,306277.0,889450.0
2016-04-11,1.65,442406.0,268837.0,711243.0
2016-04-12,1.43,439135.0,306927.0,746062.0
2016-04-13,1.05,591555.0,563531.0,1155086.0
2016-04-14,1.15,652522.0,566377.0,1218899.0
2016-04-15,1.78,614376.0,345668.0,960044.0
2016-04-18,1.93,464814.0,240951.0,705765.0
2016-04-19,1.21,609118.0,502711.0,1111829.0
2016-04-20,1.61,951057.0,590368.0,1541425.0
2016-04-21,1.6,610078.0,381638.0,991716.0
2016-04-22,2.06,671934.0,326076.0,998010.0
2016-04-25,1.49,372711.0,250564.0,623275.0
2016-04-26,1.42,363178.0,255393.0,618571.0
2016-04-27,1.52,485359.0,318662.0,804021.0
2016-04-28,1.52,552885.0,363649.0,916534.0
2016-04-29,1.65,884981.0,537897.0,1422878.0
2016-05-02,1.5,342324.0,227673.0,569997.0
2016-05-03,1.99,570835.0,286825.0,857660.0
2016-05-04,1.28,599377.0,467447.0,1066824.0
2016-05-05,2.01,564601.0,280431.0,845032.0
2016-05-06,1.72,819710.0,475669.0,1295379.0
2016-05-09,2.36,432894.0,183664.0,616558.0
2016-05-10,1.55,593815.0,383914.0,977729.0
2016-05-11,1.84,657576.0,356890.0,1014466.0
2016-05-12,1.97,556179.0,282524.0,838703.0
2016-05-13,2.08,719482.0,346463.0,1065945.0
2016-05-16,1.43,457099.0,319626.0,776725.0
2016-05-17,1.58,651355.0,412091.0,1063446.0
2016-05-18,1.61,770399.0,478260.0,1248659.0
2016-05-19,1.86,917745.0,493876.0,1411621.0
2016-05-20,1.5,662266.0,440569.0,1102835.0
2016-05-23,1.99,582556.0,293163.0,875719.0
2016-05-24,1.6,782438.0,490285.0,1272723.0
2016-05-25,1.21,699398.0,578386.0,1277784.0
2016-05-26,1.53,601891.0,393811.0,995702.0
2016-05-27,1.51,675694.0,446828.0,1122522.0
2016-05-31,1.7,771157.0,453232.0,1224389.0
2016-06-01,1.71,705686.0,413351.0,1119037.0
2016-06-02,1.48,532326.0,360359.0,892685.0
2016-06-03,1.29,755008.0,584524.0,1339532.0
2016-06-06,1.52,742674.0,489723.0,1232397.0
2016-06-07,1.24,741548.0,598463.0,1340011.0
